LSOA name,LSOA code,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
Croydon 026D,E01001129,1394,43,59,102,60,79,136,213,371,191,106,34
Croydon 026E,E01001133,1587,59,62,70,51,77,171,227,353,225,188,104
Croydon 028A,E01001167,2325,149,176,184,141,140,318,565,425,132,70,25
Croydon 028B,E01001169,1831,132,145,195,110,101,248,359,352,108,53,28
Croydon 028C,E01001171,1757,115,114,122,92,85,250,368,287,123,95,106
Croydon 028D,E01001172,2204,117,182,279,146,170,292,430,409,121,43,15
Croydon 028E,E01001173,2737,186,173,230,124,145,447,634,509,161,97,31
Croydon 029A,E01001036,1619,71,72,104,61,64,232,315,353,183,116,48
Croydon 029B,E01001037,1534,143,110,88,49,64,334,413,201,69,45,18
Croydon 029C,E01001038,1904,118,110,118,47,76,433,554,298,89,46,15
Croydon 029D,E01001039,1567,97,107,127,45,64,184,344,329,152,92,26
Croydon 029E,E01001040,1721,127,106,122,63,87,342,450,279,88,38,19
Croydon 030A,E01001051,1603,108,139,203,117,103,166,293,258,108,88,20
Croydon 030B,E01001052,1465,64,119,189,133,116,156,295,235,84,58,16
Croydon 030C,E01001054,1858,107,135,249,143,118,209,387,320,89,72,29
Croydon 030D,E01001056,1811,115,183,290,156,113,194,371,299,55,26,9
Croydon 030E,E01001057,1792,115,220,277,131,104,240,334,263,65,30,13
Croydon 031A,E01001033,1671,127,96,94,47,103,340,384,276,117,59,28
Croydon 031B,E01001034,1614,129,82,104,57,82,296,377,287,138,51,11
Croydon 031C,E01001041,1732,121,112,140,80,102,338,407,304,78,42,8
Croydon 031D,E01001095,1532,118,125,128,75,66,264,338,263,97,47,11
Croydon 031E,E01001100,1512,99,82,92,67,66,230,355,287,120,87,27
Croydon 032A,E01001053,1599,100,97,173,124,110,155,306,319,126,67,22
Croydon 032B,E01001055,1569,75,123,154,87,111,180,275,327,131,76,30
Croydon 032C,E01001077,1332,66,76,108,55,71,172,270,273,146,71,24
Croydon 032D,E01001078,1448,76,119,152,83,93,176,276,291,99,68,15
Croydon 032E,E01001082,1550,98,120,135,84,108,208,302,316,112,51,16
Croydon 033A,E01001120,1347,88,89,79,59,80,145,247,306,130,88,36
Croydon 033B,E01001122,1445,54,73,124,115,68,108,248,326,198,97,34
Croydon 033C,E01001123,1620,67,80,120,78,78,155,325,374,159,131,53
Croydon 033D,E01001124,1567,63,71,104,49,69,116,249,363,255,157,71
Croydon 033E,E01001125,1645,78,108,136,72,89,175,309,331,187,116,44
Croydon 034A,E01001058,1353,83,106,96,54,78,151,281,264,143,68,29
Croydon 034B,E01001059,1451,114,109,95,40,58,242,309,257,156,48,23
Croydon 034C,E01001060,1618,108,118,144,72,76,196,333,315,156,71,29
Croydon 034D,E01001061,1621,95,106,101,62,102,270,337,332,134,60,22
Croydon 034E,E01001065,1324,55,67,71,35,63,197,263,288,148,90,47
Croydon 034F,E01001066,1454,76,94,167,97,109,169,273,307,89,53,20
Croydon 034G,E01001119,1438,66,100,93,62,62,122,291,281,221,104,36
Croydon 034H,E01001126,1417,84,68,87,49,51,160,251,312,194,124,37
Croydon 035A,E01001032,1556,80,118,125,57,65,123,340,283,179,116,70
Croydon 035B,E01001101,1435,90,93,101,56,66,135,280,325,165,93,31
Croydon 035C,E01001102,1517,76,89,123,50,56,108,277,284,192,154,108
Croydon 035D,E01001107,1669,86,96,118,48,54,147,376,328,247,126,43
Croydon 035E,E01001108,1787,90,116,159,56,95,112,349,393,222,134,61
Croydon 036A,E01001076,1666,121,141,195,88,107,204,339,303,98,54,16
Croydon 036B,E01001079,1613,83,115,154,89,111,196,311,337,136,61,20
Croydon 036C,E01001080,1481,87,94,153,89,77,179,265,295,105,79,58
Croydon 036D,E01001081,1472,77,124,162,89,92,177,297,266,98,63,27
Croydon 037A,E01001073,1436,111,81,82,61,69,205,326,269,142,69,21
Croydon 037B,E01001092,1933,100,102,115,71,84,302,345,384,193,143,94
Croydon 037C,E01001093,1793,104,114,135,69,97,239,412,342,166,82,33
Croydon 037D,E01001096,1480,86,85,105,55,68,152,301,313,175,105,35
Croydon 037E,E01001097,2388,166,118,144,76,107,463,573,377,144,117,103
Croydon 037F,E01001098,1471,77,88,114,52,71,134,322,330,151,107,25
Croydon 038A,E01001028,1654,65,95,122,74,77,166,289,346,228,131,61
Croydon 038B,E01001029,1720,112,87,97,66,81,262,327,340,156,112,80
Croydon 038C,E01001030,1452,75,85,113,64,92,172,273,320,140,77,41
Croydon 038D,E01001031,1455,72,87,98,73,80,144,288,348,166,71,28
Croydon 038E,E01001094,1644,64,84,128,65,98,176,278,360,203,124,64
Croydon 039A,E01001103,1634,79,104,107,70,66,109,300,348,212,164,75
Croydon 039B,E01001105,1737,83,103,173,100,105,187,349,385,145,72,35
Croydon 039C,E01001106,1502,77,89,117,81,79,161,300,320,155,76,47
Croydon 039D,E01001121,1325,52,63,80,42,48,88,231,252,269,139,61
Croydon 040A,E01001069,1368,94,90,80,44,47,165,305,264,137,83,59
Croydon 040B,E01001070,1788,101,134,152,88,100,197,350,356,144,93,73
Croydon 040C,E01001075,1628,108,106,132,49,58,282,372,290,128,66,37
Croydon 040D,E01001099,1585,110,120,140,72,71,253,380,257,114,59,9
Croydon 041A,E01001015,1494,89,108,147,76,101,156,293,284,137,82,21
Croydon 041B,E01001016,1756,103,121,127,94,83,152,391,334,186,118,47
Croydon 041C,E01001023,2596,244,175,186,91,99,560,625,335,126,94,61
Croydon 041D,E01001067,1657,80,98,137,75,65,122,350,401,186,110,33
Croydon 041E,E01001074,1946,131,137,147,80,104,284,429,355,162,89,28
Croydon 042A,E01001068,1837,121,120,128,60,90,225,388,400,164,95,46
Croydon 042B,E01001071,1896,109,114,156,84,108,204,454,399,160,89,19
Croydon 042C,E01001072,1482,68,65,97,42,55,116,252,326,211,168,82
Croydon 042D,E01001104,1678,95,96,112,70,83,167,375,370,174,96,40
Croydon 043A,E01001017,1648,110,95,102,70,71,149,373,328,199,107,44
Croydon 043B,E01001024,1340,81,80,96,46,74,156,286,277,148,77,19
Croydon 043C,E01001025,1347,93,91,101,48,64,137,307,252,144,79,31
Croydon 043D,E01001026,1881,146,150,163,77,99,242,419,311,163,91,20
Croydon 043E,E01001027,2909,284,234,237,119,106,459,775,410,172,88,25
Croydon 044A,E01001018,1648,88,99,132,56,67,167,341,333,193,122,50
Croydon 044B,E01001019,1461,90,72,86,42,58,139,278,298,202,141,55
Croydon 044C,E01001020,1652,132,107,128,57,59,144,355,321,193,114,42
Croydon 044D,E01001021,1356,78,107,128,68,69,157,242,254,117,85,51
Croydon 044E,E01001022,1481,73,70,86,57,59,118,275,324,180,165,74
Croydon 045A,E01000990,1437,56,81,147,83,108,175,280,308,113,65,21
Croydon 045B,E01001189,1219,88,67,100,61,60,168,294,229,104,36,12
Croydon 045C,E01001190,1551,98,84,139,68,77,245,376,314,94,42,14
Croydon 045D,E01001194,1615,122,112,111,88,70,251,412,294,101,35,19
Croydon 045E,E01032569,1792,153,160,172,95,113,258,341,357,103,31,9
Croydon 046A,E01034147,1122,60,20,17,14,129,529,262,72,10,8,1
Croydon 046B,E01034148,1628,93,39,26,31,162,703,361,164,21,27,1
Croydon 046C,E01034149,2112,134,115,95,34,152,515,551,281,125,68,42
Croydon 046D,E01034150,1346,120,86,68,34,87,436,352,131,21,8,3
Croydon 046E,E01034151,1163,67,58,45,18,69,469,326,84,17,7,3
Croydon 047C,E01001035,1861,134,110,90,49,82,411,487,270,110,69,49
Croydon 047A,E01001047,1733,129,87,103,51,72,401,464,268,81,61,16
Croydon 047D,E01001170,1939,122,145,138,67,69,327,500,284,117,101,69
Croydon 047B,E01034152,1626,178,100,109,61,81,373,460,182,57,16,9
Ealing 001A,E01001269,2271,125,157,183,98,157,358,584,379,137,66,27
Ealing 001B,E01001271,1920,119,128,167,113,111,256,436,382,102,82,24
Ealing 001C,E01001309,1854,95,112,148,109,112,260,454,347,124,75,18
Ealing 001D,E01001310,2142,110,139,147,94,125,356,608,343,130,69,21
Ealing 001E,E01001311,2519,169,117,181,113,171,566,559,427,144,57,15
Ealing 002A,E01001307,1883,113,123,134,86,100,284,470,327,146,70,30
Ealing 002B,E01001308,1944,87,81,109,75,117,293,404,416,182,123,57
Ealing 002C,E01001312,1971,105,109,146,89,118,338,469,332,142,95,28
Ealing 002D,E01001313,1727,75,78,139,98,92,273,393,307,153,83,36
Ealing 002E,E01001314,1526,73,85,133,68,77,220,366,272,138,73,21
Ealing 003A,E01001315,1467,83,69,125,80,77,206,366,280,101,62,18
Ealing 003B,E01001316,1727,120,146,131,90,128,249,407,290,120,36,10
Ealing 003C,E01001317,2181,133,167,213,117,116,344,530,352,125,63,21
Ealing 003D,E01001318,1949,117,123,184,99,107,276,421,388,153,52,29
Ealing 003E,E01001320,1618,121,121,176,107,106,262,331,260,84,37,13
Ealing 003F,E01001321,2266,139,139,168,143,133,311,474,392,205,114,48
Ealing 004A,E01001270,1760,73,120,141,113,91,239,391,389,119,60,24
Ealing 004B,E01001319,1549,93,74,105,79,108,238,341,307,105,61,38
Ealing 004C,E01001322,2073,115,131,183,102,114,317,492,366,164,65,24
Ealing 004D,E01001323,2012,156,133,161,88,97,339,501,323,112,68,34
Ealing 005A,E01001341,1794,91,119,139,87,107,280,415,320,134,70,32
Ealing 005B,E01001342,1901,98,100,134,88,110,314,462,359,144,66,26
Ealing 005C,E01001343,1438,76,78,85,58,86,190,327,281,163,73,21
Ealing 005D,E01001345,1757,80,98,146,111,137,230,405,351,105,67,27
Ealing 006A,E01001265,1724,108,90,141,82,80,264,450,322,101,63,23
Ealing 006B,E01001266,1834,84,79,130,84,126,274,383,361,175,99,39
Ealing 006C,E01001267,2036,112,129,183,95,97,261,455,375,168,114,47
Ealing 006D,E01001272,1718,94,84,123,82,111,266,441,311,102,64,40
Ealing 006E,E01001349,1411,72,73,105,73,84,213,298,299,115,53,26
Ealing 007A,E01001344,2290,153,151,156,85,86,374,643,372,149,96,25
Ealing 007B,E01001346,1954,96,124,192,88,105,238,449,385,149,87,41
Ealing 007C,E01001347,1969,84,83,124,132,128,313,485,393,125,75,27
Ealing 007D,E01001348,1674,120,105,114,66,80,248,419,301,130,64,27
Ealing 008A,E01001257,2233,164,182,223,130,142,378,508,341,98,50,17
Ealing 008B,E01001324,1666,141,126,123,66,81,275,403,293,101,39,18
Ealing 008C,E01001326,1962,222,147,162,86,102,327,361,368,105,50,32
Ealing 008D,E01001330,1856,142,144,200,109,101,282,397,330,73,59,19
Ealing 008E,E01001332,1593,136,117,138,89,85,249,380,255,94,39,11
Ealing 009A,E01001325,1984,112,126,227,99,125,266,408,368,139,85,29
Ealing 009B,E01001327,1896,113,112,152,116,144,268,410,376,128,59,18
Ealing 009C,E01001328,1824,102,138,187,103,127,243,398,327,103,66,30
Ealing 009D,E01001329,1964,132,124,236,113,106,266,412,369,119,68,19
Ealing 009E,E01001331,1797,159,164,182,106,128,233,435,267,72,42,9
Ealing 010B,E01001258,1874,127,120,168,77,92,240,465,316,142,92,35
Ealing 010C,E01001262,1620,79,111,138,83,111,211,325,287,138,83,54
Ealing 010D,E01001263,1947,140,146,165,89,100,333,401,359,129,66,19
Ealing 010E,E01001264,1821,94,103,169,93,142,233,400,339,121,83,44
Ealing 010F,E01032743,2281,197,178,227,145,126,361,650,311,54,28,4
Ealing 010G,E01032744,1613,89,120,139,67,88,213,385,284,90,82,56
Ealing 011A,E01001276,1779,91,96,113,61,139,279,462,311,137,69,21
Ealing 011B,E01001277,2040,207,100,123,73,124,387,495,297,128,77,29
Ealing 011C,E01001278,2079,148,132,174,55,118,370,491,320,157,77,37
Ealing 011D,E01001280,1816,125,151,116,44,65,277,494,282,135,84,43
Ealing 012A,E01001218,2056,161,136,178,111,138,281,442,330,134,104,41
Ealing 012B,E01001260,2039,111,115,153,85,125,307,458,398,148,99,40
Ealing 012C,E01001261,2321,138,128,169,111,134,423,553,410,133,85,37
Ealing 012D,E01001268,1963,103,119,186,88,109,227,448,363,141,125,54
Ealing 013A,E01001209,1684,92,103,137,62,76,178,352,387,196,75,26
Ealing 013B,E01001211,1734,73,118,136,52,84,206,388,383,159,87,48
Ealing 013C,E01001279,1494,70,108,119,55,47,139,315,277,217,108,39
Ealing 013D,E01001281,1571,76,111,131,64,43,188,389,273,140,99,57
Ealing 014A,E01001217,1451,64,86,108,73,79,198,300,308,135,76,24
Ealing 014B,E01001259,1599,106,100,125,71,81,260,358,289,102,86,21
Ealing 014C,E01001291,1759,104,129,142,83,108,232,433,298,159,51,20
Ealing 014D,E01001292,1675,70,96,130,74,85,263,341,347,141,83,45
Ealing 014E,E01001293,1828,105,141,163,96,88,245,417,363,129,54,27
Ealing 015A,E01001196,1616,95,99,135,57,112,296,345,273,89,77,38
Ealing 015C,E01001239,1481,83,71,103,75,128,278,338,281,67,48,9
Ealing 015D,E01001246,1826,100,81,117,66,137,389,446,313,112,44,21
Ealing 015E,E01001247,2270,103,122,170,108,212,411,501,305,138,96,104
Ealing 015F,E01034026,2510,62,36,39,805,581,521,341,91,21,8,5
Ealing 015G,E01034027,2533,126,114,120,472,317,461,488,268,123,33,11
Ealing 016A,E01001210,1888,134,133,181,106,124,233,359,314,171,105,28
Ealing 016B,E01001282,1619,111,100,144,90,67,196,356,307,124,84,40
Ealing 016C,E01001283,1780,111,99,126,66,89,240,434,315,157,114,29
Ealing 016D,E01001285,1767,95,110,171,116,145,211,425,320,100,48,26
Ealing 016E,E01001286,1669,92,115,178,99,98,192,386,317,117,48,27
Ealing 016F,E01001287,1615,86,151,160,148,114,182,313,294,93,56,18
Ealing 017A,E01001294,2029,119,140,149,86,117,328,428,389,157,87,29
Ealing 017B,E01001295,1795,86,87,151,99,123,238,421,338,155,75,22
Ealing 017C,E01001296,1439,73,74,121,73,104,207,312,290,110,61,14
Ealing 017D,E01001297,1839,94,117,167,102,118,260,427,319,133,74,28
Ealing 017E,E01001298,2109,75,90,169,92,126,307,423,491,160,115,61
Ealing 018A,E01001204,1612,76,80,133,76,99,189,332,342,169,83,33
Ealing 018B,E01001205,1780,135,132,157,83,109,278,429,277,112,50,18
Ealing 018C,E01001206,1576,130,130,183,127,110,216,327,254,61,28,10
Ealing 018D,E01001207,1763,124,97,82,54,126,386,416,314,87,59,18
Ealing 018E,E01001208,1360,52,79,128,63,83,106,266,292,175,97,19
Ealing 018F,E01001212,1767,58,72,138,65,83,236,338,398,169,135,75
Ealing 019B,E01001224,1560,68,99,100,63,91,183,305,388,140,95,28
Ealing 019C,E01001226,1511,84,76,70,47,65,267,389,250,125,85,53
Ealing 019D,E01001227,1520,68,94,86,66,89,244,320,318,144,72,19
Ealing 019E,E01001228,1834,81,74,82,43,98,514,454,276,120,59,33
Ealing 019F,E01034028,1230,55,57,62,32,79,294,347,219,50,22,13
Ealing 019G,E01034029,1524,120,58,68,57,84,398,458,173,55,30,23
Ealing 021A,E01001195,1824,112,144,157,59,107,291,433,288,135,71,27
Ealing 021B,E01001197,1854,83,168,153,54,101,259,532,274,114,72,44
Ealing 021C,E01001198,1564,111,96,97,61,140,280,367,274,77,44,17
Ealing 021D,E01001199,1663,93,88,114,64,122,357,391,274,102,45,13
Ealing 022A,E01001284,1720,69,147,185,87,78,178,404,325,120,89,38
Ealing 022B,E01001288,1476,95,99,147,62,66,167,377,267,108,56,32
Ealing 022C,E01001289,1337,66,83,128,71,63,180,309,285,101,36,15
Ealing 022D,E01001290,2052,117,133,157,87,87,317,520,383,145,82,24
Ealing 023A,E01001213,2013,106,117,147,105,130,294,443,355,169,107,40
Ealing 023B,E01001214,1744,74,100,132,88,126,216,380,306,184,99,39
Ealing 023C,E01001215,2055,97,134,182,112,119,289,454,379,141,102,46
Ealing 023D,E01001216,1749,98,176,149,75,92,230,399,258,165,73,34
Ealing 023E,E01001361,2277,144,170,181,128,150,340,575,380,126,70,13
Ealing 024A,E01001240,1826,65,53,105,82,189,516,355,265,115,62,19
Ealing 024B,E01001241,1856,79,82,118,71,177,508,367,264,107,59,24
Ealing 024C,E01001242,1619,88,66,157,82,106,287,337,288,130,56,22
Ealing 024D,E01001243,2390,144,149,170,95,180,567,528,352,124,60,21
Ealing 024E,E01001244,2788,184,172,190,129,207,662,580,404,121,99,40
Ealing 024F,E01001245,2167,196,147,110,48,100,426,670,307,84,60,19
Ealing 025A,E01001200,1597,104,98,100,60,136,270,400,268,93,49,19
Ealing 025B,E01001201,1589,93,76,99,65,127,311,339,325,85,51,18
Ealing 025C,E01001202,2501,163,191,196,103,184,503,627,345,102,63,24
Ealing 025D,E01001203,1689,94,82,90,53,100,329,421,351,105,55,9
Ealing 025E,E01001351,1969,117,120,129,64,115,390,430,345,140,69,50
Ealing 026A,E01001359,2462,125,166,220,154,167,369,559,428,132,101,41
Ealing 026B,E01001360,2217,97,107,160,135,158,307,532,448,140,98,35
Ealing 026C,E01001362,2625,165,217,234,160,156,358,667,437,145,67,19
Ealing 026D,E01001363,1993,142,148,200,116,121,279,450,327,121,67,22
Ealing 026E,E01001364,1833,106,100,166,115,155,273,384,305,114,87,28
Ealing 026F,E01001365,2577,137,151,216,126,186,341,631,469,186,96,38
Ealing 027A,E01001231,2047,89,78,115,68,265,397,420,287,156,125,47
Ealing 027B,E01001234,1373,58,53,78,47,82,372,349,191,89,39,15
Ealing 027C,E01001350,1439,66,58,92,48,84,258,310,290,129,75,29
Ealing 027D,E01001352,1583,67,74,92,55,113,334,394,286,99,54,15
Ealing 027E,E01001354,2057,94,83,110,58,103,372,520,399,149,105,64
Ealing 028A,E01001249,2437,166,129,163,117,167,556,645,307,109,57,21
Ealing 028B,E01001250,2181,148,124,143,71,137,380,550,413,128,71,16
Ealing 028C,E01001255,1588,98,126,152,71,52,157,421,307,106,72,26
Ealing 028D,E01001383,1752,100,94,126,66,90,277,436,354,120,63,26
Ealing 028E,E01001388,1439,82,79,104,46,73,266,326,265,115,71,12
Ealing 028F,E01001389,1826,125,80,105,54,129,355,498,268,121,69,22
Ealing 029A,E01001219,2195,135,152,219,145,152,302,451,422,136,58,23
Ealing 029B,E01001220,1516,87,104,166,117,121,213,325,234,83,50,16
Ealing 029C,E01001334,1665,112,123,162,101,112,247,361,251,124,58,14
Ealing 029D,E01001337,2121,135,109,159,76,130,463,484,385,110,54,16
Ealing 029E,E01001338,1863,106,111,140,93,95,281,429,301,159,86,62
Ealing 029F,E01001339,2182,149,125,198,111,164,400,458,392,117,50,18
Ealing 029G,E01001340,1564,110,73,114,73,84,332,412,278,63,17,8
Ealing 030A,E01001251,1809,111,125,148,75,60,262,491,334,136,48,19
Ealing 030B,E01001252,2465,160,144,197,93,129,412,706,398,142,59,25
Ealing 030C,E01001253,2129,127,165,191,91,113,316,555,378,109,63,21
Ealing 030D,E01001254,1748,100,124,140,70,60,195,438,366,156,76,23
Ealing 031A,E01001229,1517,85,101,95,63,108,209,386,270,131,53,16
Ealing 031B,E01001230,1369,67,61,57,36,111,240,338,250,135,47,27
Ealing 031C,E01001232,1559,68,69,126,62,95,222,390,288,148,69,22
Ealing 031D,E01001233,1445,86,73,71,41,89,259,344,263,127,64,28
Ealing 031E,E01001237,1562,75,54,59,51,108,299,349,302,146,78,41
Ealing 031F,E01001386,1799,90,94,124,70,102,233,449,399,130,84,24
Ealing 032A,E01001303,1727,106,129,150,58,79,211,430,323,135,74,32
Ealing 032B,E01001382,1479,87,86,129,70,48,138,330,345,143,69,34
Ealing 032C,E01001384,1751,134,106,98,48,81,280,500,325,104,53,22
Ealing 032D,E01001385,1678,114,127,112,43,59,237,470,304,119,69,24
Ealing 032E,E01001387,1535,72,64,60,38,68,339,367,309,112,68,38
Ealing 033A,E01001353,1414,68,73,84,54,82,306,331,257,89,50,20
Ealing 033B,E01001355,1956,114,108,75,62,118,482,485,304,122,57,29
Ealing 033C,E01001356,1496,133,119,127,76,84,225,331,243,83,57,18
Ealing 033D,E01001357,2748,205,162,160,118,156,698,757,333,90,49,20
Ealing 033E,E01001358,1990,180,91,138,84,107,546,539,209,61,26,9
Ealing 034A,E01001375,1696,107,104,118,38,50,233,418,371,166,61,30
Ealing 034B,E01001377,1640,72,109,99,71,81,209,324,383,164,97,31
Ealing 034C,E01001379,1737,121,96,135,70,70,206,426,400,121,75,17
Ealing 034D,E01001381,1880,125,128,101,32,119,362,520,314,108,55,16
Ealing 035A,E01001248,1590,66,94,120,72,98,179,347,297,163,106,48
Ealing 035B,E01001299,1754,78,111,163,71,94,157,365,384,187,102,42
Ealing 035C,E01001305,1727,72,134,160,72,58,170,416,363,144,106,32
Ealing 035D,E01001306,1638,113,103,134,55,48,188,442,331,132,71,21
Ealing 038A,E01001333,2466,142,165,224,139,145,367,572,409,155,99,49
Ealing 038B,E01001335,1799,88,109,107,102,100,255,339,374,187,88,50
Ealing 038C,E01001336,1841,96,115,115,62,142,331,357,345,174,76,28
Ealing 038D,E01001369,2066,116,155,177,119,113,328,483,348,148,60,19
Ealing 039A,E01001300,1616,106,141,127,56,55,184,433,318,103,65,28
Ealing 039B,E01001301,1884,89,91,119,72,182,401,468,265,97,67,33
Ealing 039C,E01001302,1599,89,99,136,61,67,187,439,318,112,72,19
Ealing 039D,E01001304,1657,140,95,107,54,84,294,422,289,98,58,16
Ealing 040A,E01001374,1944,115,106,110,57,90,410,523,328,133,56,16
Ealing 040B,E01001376,1706,115,101,108,51,97,310,469,262,95,75,23
Ealing 040C,E01001380,2309,141,115,113,70,134,468,687,326,138,97,20
Ealing 040D,E01032572,1608,81,70,68,45,92,316,418,337,121,52,8
Ealing 041B,E01001223,1453,84,76,77,43,66,272,359,244,124,81,27
Ealing 041A,E01001225,1809,71,118,95,34,92,370,451,338,122,77,41
Ealing 041C,E01001273,1675,73,105,121,74,121,209,365,325,156,89,37
Ealing 041E,E01001274,1612,112,138,151,65,76,187,442,241,104,76,20
Ealing 041D,E01001275,1800,90,80,81,37,83,418,501,260,131,88,31
Ealing 042D,E01001235,1770,89,68,74,49,112,505,476,236,72,58,31
Ealing 042C,E01001236,1477,75,67,65,38,75,330,370,238,127,66,26
Ealing 042A,E01034030,1862,107,58,74,39,151,551,433,251,105,64,29
Ealing 042B,E01034031,1312,144,74,50,18,38,328,433,136,54,27,10
Ealing 043B,E01001367,2710,182,167,292,150,193,372,702,473,99,65,15
Ealing 043C,E01001372,2553,193,173,236,142,166,409,646,367,153,55,13
Ealing 043A,E01001373,2079,111,143,185,141,142,288,545,356,107,44,17
Ealing 044C,E01001366,2051,131,142,205,120,143,277,488,338,129,59,19
Ealing 044D,E01001368,1763,74,92,158,104,118,260,413,320,134,71,19
Ealing 044A,E01001370,2174,116,127,211,112,151,336,501,393,147,59,21
Ealing 044B,E01001371,2307,143,179,222,136,158,288,560,383,127,92,19
Enfield 001A,E01001444,1907,148,163,203,115,106,256,351,348,115,81,21
Enfield 001B,E01001446,1860,123,123,170,96,125,252,384,359,114,83,31
Enfield 001C,E01001546,1813,112,146,195,106,123,258,356,327,100,57,33
Enfield 001D,E01001552,1945,104,115,195,110,129,210,399,357,150,95,81
Enfield 002A,E01001442,1732,124,150,171,102,123,266,330,290,95,56,25
Enfield 002B,E01001545,1883,119,126,223,126,150,243,365,376,87,51,17
